year,head_no,subhead_no,subhead_name,reimbursements,item_no,title,actual,revised,estimate
2006,95,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",43078,46945,47000
2006,95,694,Archaeological excavations (block vote),"",,"Plant, Equipment and Works",1449,1438,1438
2006,95,700,General non-recurrent,"",,Non-Recurrent,74517,85340,18479
2006,95,863,Non-government organisation camps (block vote),"",,Subventions,1967,3285,3000
2006,96,000,Operational expenses,"",,Recurrent,237758,259737,285437
2006,96,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",1933,434,800
2006,96,700,General non-recurrent,"",,Non-Recurrent,241,1416,10588
2006,100,000,Operational expenses,"",,Recurrent,847569,829752,869230
2006,100,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",28748,27960,26550
2006,100,661,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",6492,,
2006,100,700,General non-recurrent,"",,Non-Recurrent,71,1500,1634
2006,106,163,Write-offs,"",,Recurrent,341,1330,1200
2006,106,188,Difference in exchange,"",,Recurrent,1552,15000,15000
2006,106,190,Other miscellaneous items,"",,Recurrent,185,222,1000
2006,106,192,Refunds of revenue,"",,Recurrent,22920,29419,30019
2006,106,251,Additional commitments,"",,Recurrent,,,2784180
2006,106,284,Compensation,"",,Recurrent,91679,66246,70000
2006,106,689,Additional commitments,"",,"Plant, Equipment and Works",,,21000
2006,106,789,Additional commitments,"",,Non-Recurrent,,,5556912
2006,106,795,Contribution to the sixth replenishment of the Asian Development Fund,"",,Non-Recurrent,15607,10064,5149
2006,106,819,Contribution to the seventh replenishment of the Asian Development Fund,"",,Non-Recurrent,24312,25258,23941
2006,106,821,Contribution to the eighth replenishment of the Asian Development Fund,"",,Non-Recurrent,,10976,11678
2006,112,000,Operational expenses,"",,Recurrent,223006,207990,215008
2006,112,366,Remuneration and reimbursements for Members of the Legislative Council,"",,Recurrent,119236,119534,120014
2006,112,700,General non-recurrent,"",,Non-Recurrent,,,170
2006,112,872,Non-recurrent expenses reimbursements for Members of the Legislative Council,"",,Subventions,5359,3000,3367
2006,112,885,Legislative Council Commission,"",,Subventions,3781,4035,8078
2006,114,000,Operational expenses,"",,Recurrent,86778,81222,81222
2006,114,700,General non-recurrent,"",,Non-Recurrent,200,200,30
2006,116,000,Operational expenses,"",,Recurrent,113842,110751,126402
2006,116,700,General non-recurrent,"",,Non-Recurrent,2926,2044,4573
2006,118,000,Operational expenses,"",,Recurrent,407372,395678,411009
2006,118,700,General non-recurrent,"",,Non-Recurrent,7347,6269,15230
2006,118,700,Minor consultancy studies (block vote),"",,Non-Recurrent,4700,,
2006,120,015,Public and judicial service pension benefits and compensation,"",,Recurrent,14124521,12286559,13362670
2006,120,016,Contract gratuities,"",,Recurrent,397871,397545,408055
2006,120,017,Surviving spouses’ and children’s pensions and widows’ and orphans’ pensions,"",,Recurrent,280669,287643,307083
2006,120,018,"Volunteer and defence force pensions, allowances and grants","",,Recurrent,44370,42291,42291
2006,120,021,"Ex-gratia pensions, awards and allowances","",,Recurrent,210,725,725
2006,120,026,"Employees’ compensation, injury, incapacity and death related payments and expenses","",,Recurrent,51954,51051,51048
2006,120,700,General non-recurrent,"",,Non-Recurrent,801154,83454,983
2006,121,000,Operational expenses,"",,Recurrent,12998,13254,12700
2006,122,000,Operational expenses,"",,Recurrent,10943247,10749095,10955487
2006,122,103,Rewards and special services,"",,Recurrent,56606,77000,80000
2006,122,207,"Expenses of witnesses, prisoners and deportees","",,Recurrent,4539,5300,5500
2006,122,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",75982,56662,61795
2006,122,614,"Alterations, additions and improvements to in-service Marine Police craft (block vote)","",,"Plant, Equipment and Works",1064,1100,1100
2006,122,624,Repairs and improvements to land boundary fences,"",,"Plant, Equipment and Works",131,446,824
2006,122,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",44265,24444,47785
2006,122,700,General non-recurrent,"",,Non-Recurrent,844,1688,300
2006,136,000,Operational expenses,"",,Recurrent,17654,16735,15511
2006,138,000,Operational expenses,"",,Recurrent,80813,88296,92397
2006,138,,General non-recurrent,"",,Non-Recurrent,4263,,
2006,142,000,Operational expenses,"",,Recurrent,459836,550698,577218
2006,142,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",3941,2291,2291
2006,142,700,General non-recurrent,"",,Non-Recurrent,8674,19612,56674
2006,142,700,Minor consultancy studies (block vote),"",,Non-Recurrent,9769,,
2006,143,000,Operational expenses,"",,Recurrent,371778,367349,378554
2006,143,700,General non-recurrent,"",,Non-Recurrent,13206,9136,8100
2006,144,000,Operational expenses,"",,Recurrent,34838,33528,114533
2006,144,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",,,1495
2006,144,700,General non-recurrent,"",,Non-Recurrent,2298,5026,19639
2006,145,000,Operational expenses,"",,Recurrent,700811,844630,889057
2006,145,700,General non-recurrent,"",,Non-Recurrent,22445,36990,39286
2006,145,955,Consumer Council,"",,Subventions,,,250
2006,147,000,Operational expenses,"",,Recurrent,127874,124094,148030
2006,147,281,Air passenger departure tax administration fees,"",,Recurrent,32447,34485,36973
2006,148,000,Operational expenses,"",,Recurrent,102823,102186,122816
2006,148,003,Recoverable salaries and allowances (General),3768,,Recurrent,,,
2006,148,700,General non-recurrent,"",,Non-Recurrent,3620,7383,3603
2006,149,000,Operational expenses,"",,Recurrent,28035228,27268462,27867767
2006,149,700,Financial assistance for family members of those who sacrifice their lives to save others (block vote),"",,Non-Recurrent,3000,,
2006,149,700,General non-recurrent,"",,Non-Recurrent,323563,411358,104271
2006,149,869,Hospital Authority - information technology system for Chinese medicine outpatient clinics,"",,Subventions,150,3000,3000
2006,149,874,Prince Philip Dental Hospital - information technology system,"",,Subventions,,3500,3500
2006,149,899,"Prince Philip Dental Hospital - minor plant, vehicles, equipment, maintenance, and improvement (block vote)","",,Subventions,1732,2810,3818
2006,149,940,Prince Philip Dental Hospital - provision of dental equipment and furniture,"",,Subventions,33,34,208
2006,149,979,Skills centres (block vote),"",,Subventions,2103,2087,
2006,149,979,Hospital Authority - equipment and information systems (block vote),"",,Subventions,300000,278000,290000
2006,149,979,Hospital Authority - furniture and equipment for Chinese medicine service,"",,Subventions,4846,80,
2006,151,000,Operational expenses,"",,Recurrent,112298,119951,123800
2006,151,700,General non-recurrent,"",,Non-Recurrent,917,600,300
2006,152,000,Operational expenses,"",,Recurrent,460913,458906,481854
2006,152,700,General non-recurrent,"",,Non-Recurrent,13179,15400,15414
2006,155,000,Operational expenses,"",,Recurrent,368334,368511,398823
2006,155,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",2336,2050,2080
2006,155,661,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",55,815,
2006,155,700,General non-recurrent,"",,Non-Recurrent,36298,57806,62402
2006,155,,Hong Kong Applied Science and Technology Research Institute Company Limited,"",,Subventions,9484,,
2006,156,000,Operational expenses,"",,Recurrent,30723618,31105654,32406459
2006,156,003,Recoverable salaries and allowances (General),23233,,Recurrent,,,
2006,156,603,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",,2700,
2006,156,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",137201,5042,425
2006,156,700,General non-recurrent,"",,Non-Recurrent,1220335,1651635,1211457
2006,156,700,Self-employment Business Start-up Assistance Scheme,"",,Non-Recurrent,58,100,
2006,156,871,Vocational Training Council,"",,Subventions,5450,30295,17319
2006,156,873,Codes of Aid for existing schools,"",,Subventions,2983,5205,1205
2006,156,898,Codes of Aid for existing schools - furniture and equipment (block vote),"",,Subventions,2339,3842,3406
2006,156,900,"Codes of Aid for existing schools - maintenance, repairs and minor improvement (block vote)","",,Subventions,331567,404348,404348
2006,156,950,Hong Kong Examinations and Assessment Authority,"",,Subventions,,16510,139530
2006,156,976,Vocational Training Council (block vote),"",,Subventions,26850,26649,26649
2006,156,976,"Colour television receivers, videocassette recorders and tapes (block vote)","",,Subventions,325,,
2006,156,976,Miscellaneous educational services,"",,Subventions,5976,,
2006,156,976,Hong Kong Council for Academic Accreditation,"",,Subventions,3470,,
2006,158,000,Operational expenses,"",,Recurrent,92534,71303,70818
2006,158,700,General non-recurrent,"",,Non-Recurrent,1072,812,853
2006,159,000,Operational expenses,"",,Recurrent,184426,177403,189369
2006,159,700,General non-recurrent,"",,Non-Recurrent,578,8347,5150
2006,160,000,Operational expenses,"",,Recurrent,439695,422600,428896
2006,160,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",1255,1956,6340
2006,160,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",7937,3900,3650
2006,162,000,Operational expenses,"",,Recurrent,372674,353949,361982
2006,162,700,General non-recurrent,"",,Non-Recurrent,3109,34,900
2006,163,000,Operational expenses,"",,Recurrent,269299,70031,174083
2006,166,000,Operational expenses,"",,Recurrent,135381,140803,144338
2006,166,200,Insurance of aircraft,"",,Recurrent,1347,1260,1300
2006,166,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",171,16468,3324
2006,166,631,"Aircraft components, component overhaul and safety equipment (block vote)","",,"Plant, Equipment and Works",51738,64266,62041
2006,166,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",,,1287
2006,166,,General non-recurrent,"",,Non-Recurrent,455,,
2006,168,000,Operational expenses,"",,Recurrent,192762,188603,195474
2006,168,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",1044,5166,1900
2006,170,000,Operational expenses,"",,Recurrent,9034537,9037166,9593318
2006,170,157,Assistance for patients and their families,"",,Recurrent,96,100,140
2006,170,176,Criminal and law enforcement injuries compensation,"",,Recurrent,11958,11080,11080
2006,170,177,Emergency relief,"",,Recurrent,176,1000,1000
2006,170,179,Comprehensive social security assistance scheme,"",,Recurrent,17631022,17833000,18841000
2006,170,180,Social security allowance scheme,"",,Recurrent,5245373,5353000,5661000
2006,170,184,Traffic accident victims assistance scheme,"",,Recurrent,20932,20708,24372
2006,170,187,Agents’ commission and expenses,"",,Recurrent,4375,4767,3970
2006,170,187,Child care centre fee assistance,"",,Recurrent,337370,311368,
2006,170,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",,232,300
2006,170,700,General non-recurrent,"",,Non-Recurrent,231527,307565,141854
2006,170,700,Grant to the Emergency Relief Fund (block vote),"",,Non-Recurrent,10000,,
2006,173,000,Operational expenses,"",,Recurrent,124316,135722,166920
2006,173,228,Student financial assistance,"",,Recurrent,2466966,2601193,3170026
2006,173,700,General non-recurrent,"",,Non-Recurrent,289687,421535,513334
2006,174,000,Operational expenses,"",,Recurrent,9829,10523,8650
2006,180,000,Operational expenses,"",,Recurrent,80855,79437,81149
2006,180,700,General non-recurrent,"",,Non-Recurrent,2081,11068,15123
2006,181,000,Operational expenses,"",,Recurrent,284075,262508,269296
2006,181,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",196,36,18
2006,181,661,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",92,50,
2006,181,700,General non-recurrent,"",,Non-Recurrent,313014,593942,420340
2006,184,987,Payment to the Capital Investment Fund,"",,Capital Account,,2000000,1000000
2006,184,988,Payment to the Loan Fund,"",,Capital Account,,2600000,2500000
2006,184,990,Payment to the Disaster Relief Fund,"",,Capital Account,20000,28400,16400
2006,186,000,Operational expenses,"",,Recurrent,793919,814018,848837
2006,186,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",2624,2442,16615
2006,186,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",4340,4606,4489
2006,186,700,General non-recurrent,"",,Non-Recurrent,4839,6116,5486
2006,186,700,Minor consultancies for traffic and transport studies (block vote),"",,Non-Recurrent,976,,
2006,186,927,Hong Kong Society for Rehabilitation - rehabuses (block vote),"",,Subventions,,,7304
2006,186,927,Rehabuses for the Hong Kong Society for Rehabilitation,"",,Subventions,5993,6552,
2006,188,000,Operational expenses,"",,Recurrent,297952,307555,328657
2006,188,003,Recoverable salaries and allowances (General),6505,,Recurrent,,,
2006,188,187,Agents’ commission and expenses,"",,Recurrent,3615,3700,4384
2006,188,,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",500,,
2006,190,000,Operational expenses,"",,Recurrent,11915798,11367280,11308770
2006,190,700,General non-recurrent,"",,Non-Recurrent,127715,1025400,11300
2006,194,000,Operational expenses,"",,Recurrent,2680649,2580857,2583040
2006,194,223,Purchase of water,"",,Recurrent,2528934,2528934,2528934
2006,194,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",33,816,544
2006,194,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",332,3340,850
2006,194,700,General non-recurrent,"",,Non-Recurrent,1915,5152,3525
2007,21,000,Operational expenses,"",,Recurrent,61316,70584,74629
2007,22,000,Operational expenses,"",,Recurrent,655043,692053,793629
2007,22,600,Works,"",,"Plant, Equipment and Works",4558,3415,5065
2007,22,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",3068,618,801
2007,22,609,Minor irrigation works in the New Territories (block vote),"",,"Plant, Equipment and Works",1034,1400,1300
2007,22,610,Minor recreational facilities and roadworks in country parks (block vote),"",,"Plant, Equipment and Works",8412,8644,8800
2007,22,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",4914,2563,5289
2007,22,700,General non-recurrent,"",,Non-Recurrent,65537,412665,624474
2007,23,000,Operational expenses,"",,Recurrent,59835,58922,59227
2007,24,000,Operational expenses,"",,Recurrent,110775,110841,113092
2007,25,000,Operational expenses,"",,Recurrent,1368381,1345716,1361087
2007,25,,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",,1044,
