year,head_no,subhead_name,subhead_no,item_no,title,note_actual,note_original,note_revised,note_estimate,reimbursement,actual,approved,revised,estimate
2006,11,Markets,022,010,"Agriculture, Fisheries and Conservation Department",,,,,,65843,66299,65177,65001
2006,11,Agricultural services and products,022,020,"Agriculture, Fisheries and Conservation Department",,,,,,109,127,168,167
2006,11,Others,022,030,"Agriculture, Fisheries and Conservation Department",,,,,,18857,19757,19168,29015
2006,11,Audit Commission,024,,"Agriculture, Fisheries and Conservation Department",,,,,,2836,2923,3079,2909
2006,11,Services to trading funds and subvented projects,025,025,Architectural Services Department,,,,,,5997,4403,7126,4776
2006,11,Others,025,030,Architectural Services Department,,,,,,817,386,737,737
2006,11,Census and Statistics Department,026,,Architectural Services Department,,,,,,9759,10640,11657,11924
2006,11,Civil Aid Service,027,,Architectural Services Department,,,,,,130,112,112,112
2006,11,Services to the Airport Authority,028,010,Civil Aviation Department,,,,,,622600,640038,637576,643069
2006,11,Aircraft en route navigation charges,028,020,Civil Aviation Department,,,,,,153705,165362,170070,179473
2006,11,Licences,028,030,Civil Aviation Department,,,,,,55485,56124,60070,60865
2006,11,Others,028,040,Civil Aviation Department,,,,,,1481,1184,1175,1243
2006,11,Recovery other than cost of raw materials for correctional services industries,030,010,Correctional Services Department,,,,,,655,450,335,300
2006,11,Laundry charges,030,015,Correctional Services Department,,,,,,2964,2953,2955,2955
2006,11,Others,030,020,Correctional Services Department,,,,,,290,265,264,264
2006,11,Import and export declarations,031,010,Customs and Excise Department,,,,,,930088,997075,992203,1024434
2006,11,Bonded warehouse supervision charges,031,020,Customs and Excise Department,,,,,,339,349,461,379
2006,11,Clothing industry training levy service charges,031,030,Customs and Excise Department,,,,,,867,867,738,738
2006,11,Denaturing fees,031,040,Customs and Excise Department,,,,,,155,154,163,163
2006,11,Import and export licences,031,071,Customs and Excise Department,,,,,,2504,2495,2538,2538
2006,11,Warehouse licences,031,072,Customs and Excise Department,,,,,,452,473,501,490
2006,11,Miscellaneous licences,031,080,Customs and Excise Department,,,,,,1462,1246,1509,1491
2006,11,Storage fees,031,090,Customs and Excise Department,,,,,,7,7,40,17
2006,11,Others,031,100,Customs and Excise Department,,,,,,20405,17095,20748,20707
2006,11,Hong Kong companies registration fees,032,010,Companies Registry,,,,,,57801,56976,58656,59166
2006,11,Works executed on private account,033,010,Civil Engineering and Development Department,,,,,,685,277107,1103,280698
2006,11,"Dangerous goods, mining and prospecting licences",033,011,Civil Engineering and Development Department,,,,,,1295,1740,1740,1333
2006,11,Explosives permit and storage fees,033,012,Civil Engineering and Development Department,,,,,,16149,15000,15000,8684
2006,11,Mud disposal,033,013,Civil Engineering and Development Department,,,,,,10357,3050,5200,3150
2006,11,Disposal of construction waste at public fill reception facilities,033,014,Civil Engineering and Development Department,,,,,,,13500,,32000
2006,11,Others,033,030,Civil Engineering and Development Department,,,,,,318,343,212,160
2006,11,"Dangerous drugs, pharmacy, poisons and other licences",037,010,Department of Health,,,,,,31491,20427,16263,18624
2006,11,Out-patient charges,037,030,Department of Health,,,,,,32464,35780,34674,34784
2006,11,Dental charges,037,040,Department of Health,,,,,,9342,9866,9850,9450
2006,11,"Medical and health charges other than hospital, out-patient and dental charges",037,050,Department of Health,,,,,,22682,24473,25639,25943
2006,11,Registrations and certificates of medical and supplementary medical professionals,037,060,Department of Health,,,,,,19676,21604,21043,21920
2006,11,Others,037,070,Department of Health,,,,,,728,593,578,547
2006,11,Works executed on private account,039,010,Drainage Services Department,,,,,,257,69,102,100
2006,11,Others,039,030,Drainage Services Department,,,,,,1044,1256,958,943
2006,11,Services to Electrical and Mechanical Services Trading Fund,042,025,Electrical and Mechanical Services Department,,,,,,31800,34411,30303,30674
2006,11,"Registration, certification and permit fees",042,027,Electrical and Mechanical Services Department,,,,,,44891,36025,35498,31628
2006,11,Others,042,030,Electrical and Mechanical Services Department,,,,,,13,15,11,11
2006,11,"Dangerous goods, mining and prospecting licences",043,011,Civil Engineering Department,,,,,,359,,,
2006,11,Explosives permit and storage fees,043,012,Civil Engineering Department,,,,,,4948,,,
2006,11,Others,043,030,Civil Engineering Department,,,,,,2141,,,
2006,11,Chemical waste charging scheme,044,010,Environmental Protection Department,,,,,,40610,43000,40000,40000
2006,11,MARPOL waste charging scheme,044,015,Environmental Protection Department,,,,,,21521,24000,20000,20000
2006,11,Waste disposal charges,044,017,Environmental Protection Department,,,,,,6557,11335,7600,16600
2006,11,Licence and permit fees,044,020,Environmental Protection Department,,,,,,9253,9475,8158,9611
2006,11,Others,044,030,Environmental Protection Department,,,,,,1743,368,400,329
2006,11,Official certificates and fire reports,045,012,Fire Services Department,,,,,,5097,4933,5256,5256
2006,11,Dangerous goods licences,045,010,Fire Services Department,,,,,,9009,8574,9640,9640
2006,11,Others,045,020,Fire Services Department,,,,,,560,507,598,598
2006,11,Government Secretariat: Office of the Government Chief Information Officer,047,,Fire Services Department,,,,,,12367,3743,3997,2886
2006,11,Services to the Hospital Authority,048,015,Government Laboratory,,,,,,2993,2496,15285,7515
2006,11,Others,048,020,Government Laboratory,,,,,,5407,5483,5192,6022
2006,11,Licences and permits,049,010,Food and Environmental Hygiene Department,,,,,,224674,249595,246653,245320
2006,11,Meat inspection,049,020,Food and Environmental Hygiene Department,,,,,,29724,30425,27909,27720
2006,11,Cemeteries and crematoria,049,030,Food and Environmental Hygiene Department,,,,,,65589,65000,60167,68867
2006,11,Others,049,040,Food and Environmental Hygiene Department,,,,,,5088,5060,2320,3213
2006,11,Management and air conditioning charges,051,010,Government Property Agency,,,,,,126135,70421,79511,69538
2006,11,Others,051,020,Government Property Agency,,,,,,3429,3725,3886,3794
2006,11,Printing services,059,010,Government Logistics Department,,,,,,222476,191128,205363,205363
2006,11,Advertisements,059,020,Government Logistics Department,,,,,,37270,27036,26784,22485
2006,11,Government transport,059,030,Government Logistics Department,,,,,,18190,16563,16116,16116
2006,11,Others,059,040,Government Logistics Department,,,,,,14488,10005,12161,10941
2006,11,Works executed on private account,060,010,Highways Department,,,,,,1582,1000,2000,1500
2006,11,Excavation permits,060,020,Highways Department,,,,,,82001,127300,124500,134300
2006,11,Others,060,030,Highways Department,,,,,,27433,1459,1550,1470
2006,11,Guesthouse licences,063,015,Home Affairs Department,,,,,,4570,8571,8926,4920
2006,11,Clubhouse certificates,063,016,Home Affairs Department,,,,,,13072,12511,12789,13499
2006,11,Karaoke establishments licences and permits,063,020,Home Affairs Department,,,,,,43,48,50,54
2006,11,Others,063,030,Home Affairs Department,,,,,,1051,1107,1182,1286
2006,11,Chinese nationality applications,070,012,Immigration Department,,,,,,3139,3910,4749,7179
2006,11,Travel documents,070,020,Immigration Department,,,,,,178900,219484,166442,186562
2006,11,"Visas, entry permits and extension of stay",070,030,Immigration Department,,,,,,90108,97312,95220,102563
2006,11,Certification fees,070,040,Immigration Department,,,,,,3166,2990,4383,4891
2006,11,Replacement of identity cards,070,060,Immigration Department,,,,,,51032,49009,47533,45049
2006,11,Births and deaths registration fees,070,070,Immigration Department,,,,,,24945,24892,26778,28045
2006,11,Marriage registration fees,070,080,Immigration Department,,,,,,70269,67506,68321,73244
2006,11,Others,070,090,Immigration Department,,,,,,16295,14966,26467,26681
2006,11,Sale of publications,074,010,Information Services Department,,,,,,12797,9954,10073,10073
2006,11,Others,074,020,Information Services Department,,,,,,929,888,2175,880
2006,11,Business registration fees,076,010,Inland Revenue Department,,,,,,1348702,1400000,1450000,1450000
2006,11,Others,076,020,Inland Revenue Department,,,,,,15042,15546,14284,16753
2006,11,Patents fees,078,010,Intellectual Property Department,,,,,,15275,13324,13774,13827
2006,11,Trade marks fees,078,020,Intellectual Property Department,,,,,,79828,69725,73560,72171
2006,11,Registered designs fees,078,030,Intellectual Property Department,,,,,,7575,7368,7704,7740
2006,11,Others,078,040,Intellectual Property Department,,,,,,25,40,55,55
2006,11,Commission,080,010,Judiciary,,,,,,7728,8373,14040,14040
2006,11,Court fees,080,020,Judiciary,,,,,,170296,167292,178875,116130
2006,11,Possession,080,030,Judiciary,,,,,,764,710,680,680
2006,11,Others,080,040,Judiciary,,,,,,13157,13030,13660,13430
2006,11,Buildings Ordinance fees,082,010,Buildings Department,,,,,,151662,135519,168202,166296
2006,11,Works executed on private account,082,020,Buildings Department,,,,,,279,140,50,50
2006,11,Others,082,030,Buildings Department,,,,,,831,541,525,442
2006,11,Labour Department,090,,Buildings Department,,,,,,25103,22823,23397,21003
2006,11,Administrative and legal land services,091,010,Lands Department,,,,,,31846,33148,33420,31675
2006,11,Lands Department consent fees and Government lease fees,091,012,Lands Department,,,,,,6899,9821,8064,7489
2006,11,Administrative fees for conveyancing services for FSI,091,013,Lands Department,,,,,,130,120,120,120
2006,11,Excavation permits,091,020,Lands Department,,,,,,8577,8191,9448,9445
2006,11,Works executed on private account,091,040,Lands Department,,,,,,364,250,542,551
2006,11,Services to KCRC,091,042,Lands Department,,,,,,38820,28219,59129,44963
2006,11,Services to MTRCL,091,046,Lands Department,,,,,,8365,4229,8399,6722
2006,11,Others,091,050,Lands Department,,,,,,20245,19448,17988,19477
2006,11,Department of Justice,092,,Lands Department,,,,,,8751,5179,2494,1890
2006,11,Legal Aid Department,094,,Lands Department,,,,,,200313,218348,179000,173000
2006,11,Admission and hire charges,095,010,Leisure and Cultural Services Department,,,,,,531282,505394,510994,510434
2006,11,Programme entry fees for recreational and sports activities,095,020,Leisure and Cultural Services Department,,,,,,36704,36949,37494,37910
2006,11,Licences,095,030,Leisure and Cultural Services Department,,,,,,674,746,716,716
2006,11,Others,095,040,Leisure and Cultural Services Department,,,,,,34667,32442,34475,28206
2006,11,Anchorage,100,010,Marine Department,,,,,,29313,32526,31000,19000
2006,11,Buoy,100,020,Marine Department,,,,,,28714,29630,28875,28200
2006,11,Permit fees,100,030,Marine Department,,,,,,,134520,113797,78922
2006,11,Cargo working area charges,100,040,Marine Department,,,,,,154222,157400,161558,166234
2006,11,Examination and registration fees,100,050,Marine Department,,,,,,61193,72077,68880,75210
2006,11,Vessel licences,100,070,Marine Department,,,,,,32175,32000,32410,30800
2006,11,Port and light dues,100,080,Marine Department,,,,,,209497,192000,219000,210000
2006,11,Port clearance fees,100,090,Marine Department,,,,,,22118,21860,22160,22600
2006,11,Survey fees,100,100,Marine Department,,,,,,27185,20322,27098,20704
2006,11,Others,100,110,Marine Department,,,,,,116564,2552,4868,4319
2006,11,Territory Development Department,110,,Marine Department,,,,,,108,,,
2006,11,Bankruptcy,116,010,Official Receiver’s Office,,,,,,118006,79200,100600,94800
2006,11,Liquidation,116,020,Official Receiver’s Office,,,,,,32608,47200,53100,57700
2006,11,Others,116,030,Official Receiver’s Office,,,,,,702,600,500,500
2006,11,Certificates of no criminal record,122,010,Hong Kong Police Force,,,,,,4344,4344,4805,4805
2006,11,Establishments and trades licences,122,020,Hong Kong Police Force,,,,,,1166,1405,1353,1252
2006,11,Security personnel permits,122,025,Hong Kong Police Force,,,,,,8443,9236,9286,9286
2006,11,Others,122,030,Hong Kong Police Force,,,,,,5436,5942,5091,4939
2006,11,Translation and interpretation services,143,010,Government Secretariat: Civil Service Bureau,,,,,,5756,6365,6153,6056
2006,11,Training and development services,143,020,Government Secretariat: Civil Service Bureau,,,,,,1661,1975,1111,1111
2006,11,Others,143,030,Government Secretariat: Civil Service Bureau,,,,,,5,512,427,501
2006,11,Government Secretariat: Economic Development and Labour Bureau (Economic Development Branch),145,,Government Secretariat: Civil Service Bureau,,,,,,7986,9135,8746,8900
2006,11,Insurance companies,148,010,Government Secretariat: Financial Services and the Treasury Bureau (Financial Services Branch),,,,,,42569,43250,42114,42114
2006,11,Others,148,030,Government Secretariat: Financial Services and the Treasury Bureau (Financial Services Branch),,,,,,13,10,11,4
2006,11,Security companies,151,010,Government Secretariat: Security Bureau,,,,,,14506,16264,15584,15190
2006,11,Others,151,090,Government Secretariat: Security Bureau,,,,,,197,1,21,21
2006,11,Government Secretariat: Innovation and Technology Commission,155,,Government Secretariat: Security Bureau,,,,,,4992,5189,5390,5338
2006,11,School fees for senior secondary classes,156,011,Government Secretariat: Education and Manpower Bureau,,,,,,70957,72299,72253,71888
2006,11,School fees for adult education courses,156,015,Government Secretariat: Education and Manpower Bureau,,,,,,4139,630,581,
2006,11,Grant and subsidised schools provident funds—supervision fees,156,020,Government Secretariat: Education and Manpower Bureau,,,,,,3619,3448,3469,3517
2006,11,Others,156,030,Government Secretariat: Education and Manpower Bureau,,,,,,3495,2976,3261,2936
2006,11,Radio Television Hong Kong,160,,Government Secretariat: Education and Manpower Bureau,,,,,,416,263,512,512
2006,11,Rating and Valuation Department,162,,Government Secretariat: Education and Manpower Bureau,,,,,,3526,2925,4071,4097
2006,11,Services to the Airport Authority,168,010,Hong Kong Observatory,,,,,,76999,79570,79570,81610
2006,11,Others,168,020,Hong Kong Observatory,,,,,,1261,1482,1554,1538
2006,11,Traffic Accident Victims Assistance Scheme administration fee,170,010,Social Welfare Department,,,,,,13107,12870,13148,13213
2006,11,Others,170,020,Social Welfare Department,,,,,,3597,3537,3508,3576
2006,11,Student Financial Assistance Agency,173,,Social Welfare Department,,,,,,12759,16608,16557,20999
2006,11,Entertainment licences,180,010,Television and Entertainment Licensing Authority,,,,,,18001,18659,18012,18281
2006,11,Film censorship fees,180,020,Television and Entertainment Licensing Authority,,,,,,2806,2800,2781,2564
2006,11,Broadcasting licences,180,025,Television and Entertainment Licensing Authority,,,,,,30510,29555,34018,31032
2006,11,Others,180,030,Television and Entertainment Licensing Authority,,,,,,1361,1415,1700,1664
2006,11,Application fees for certificates of origin,181,010,Trade and Industry Department,,,,,,6787,5430,4725,5304
2006,11,Subscription to Notice to Exporters,181,020,Trade and Industry Department,,,,,,39,,,
2006,11,Application fees for textile export licences,181,030,Trade and Industry Department,,,,,,81483,7044,3728,3803
2006,11,Others,181,040,Trade and Industry Department,,,,,,72624,68107,69858,70598
2006,11,Traffic Accident Victims Assistance Scheme administration fee,186,040,Transport Department,,,,,,1205,1177,1146,1156
2006,11,Vehicle and driving licences,186,010,Transport Department,,,,,,2677171,2728196,2735959,2769548
2006,11,"Transfer of vehicle and registration mark, driving test and permits",186,030,Transport Department,,,,,,264085,260620,228786,229207
2006,11,Vehicle examination fees,186,050,Transport Department,,,,,,59013,60623,60437,60524
2006,11,Personalized vehicle registration mark,186,055,Transport Department,,,,,,,17500,,52500
2006,11,Others,186,060,Transport Department,,,,,,10191,11079,11769,10978
2006,11,Others,188,040,Treasury,,,,,,44409,41515,37998,38998
2006,11,Differences in exchange,188,030,Treasury,,,,,,,15,15,15
2006,11,Other bureaux/departments,200,,Treasury,,,,,,6653,6165,7435,7423
2007,1,Hydrocarbon oils,010,,,,,,,,3362012,3432631,3289817,3304238
2007,1,Alcoholic beverages,020,,,,,,† After Budget revenue measures but subject to the passing of the relevant legislation by the Legislative Council.,,879763,951197,954024,657139
2007,1,Other alcohol products,030,,,,,,,,5974,5247,4838,4838
2007,1,Tobacco,050,,,,,,,,2176617,2213028,2535115,2322581
2007,2,General Rates,030,,,,,,† After Budget revenue measures but subject to the passing of the relevant legislation by the Legislative Council.,,14146318,15361000,15407000,11552000
2007,3,Bets and sweeps tax,010,,,,,,,,11938060,11932500,12100000,12210000
2007,3,Profits tax,030,020,Earnings and profits tax,,,,,,69796508,70700000,74100000,77500000
2007,3,Personal assessment,030,030,Earnings and profits tax,,,,† After Budget revenue measures but subject to the passing of the relevant legislation by the Legislative Council.,,3193951,3170000,3500000,3200000
2007,3,Property tax,030,040,Earnings and profits tax,,,,,,1267061,1300000,1250000,1300000
2007,3,Salaries tax,030,050,Earnings and profits tax,,,,,,37493868,37050000,38400000,29980000
2007,3,Estate duty,050,,Earnings and profits tax,,,,,,1675744,160000,800000,200000
2007,3,Hotel accommodation tax,060,,Earnings and profits tax,,,,,,310025,340000,380000,400000
2007,3,Stamp duties,070,,Earnings and profits tax,,,,,,17867196,14800000,23400000,22650000
2007,3,Air passenger departure tax,080,,Earnings and profits tax,,,,,,1439870,1543313,1539672,1632610
2007,4,First registration,010,,,,,,,,3894940,4016927,4386710,4464610
2007,5,Court fines and statutory penalties,010,,,,,,,,534315,502729,525727,525727
2007,5,Forfeitures,020,,,,,,,,56137,47336,42428,40644
2007,5,Fixed penalty system (Traffic Contraventions) .,030,,,,,,,,195920,190655,206837,217179
2007,5,Fixed penalty system (Criminal Proceedings),040,,,,,,,,198711,198921,202896,206954
2007,5,Payments by civil servants,050,,,,,,,,2786,2301,3225,2549
2007,6,Quarries and mining,020,,,,,,,,25193,23300,21400,32700
2007,6,Bridges and tunnels,030,,,,,,,,15934,15799,17239,66009
2007,6,Petrol filling,070,,,,,,,,6367,5817,5826,5706
2007,6,Taxi concessions,080,,,,,,,,,10000,,
2007,6,Television broadcasting,090,,,,,,,,,,1237,
2007,6,Parking,100,,,,,,,,319550,318688,311280,308592
2007,6,Vehicle examination,170,,,,,,,,58577,63130,55330,55330
2007,6,Slaughterhouse concessions,201,,,,,,,,16500,16500,16500,16500
2007,6,Other royalties and concessions,202,,,,,,,,173938,174529,173008,296494
2007,7,"Government land licences, government rents (other than those charged at 3% of rateable values in accordance with the Government Rent (Assessment and Collection) Ordinance (Cap. 515) ) and rents from short term tenancies",010,,,,,,,,1531116,1361230,1422972,1471418
2007,7,Rents from government quarters,020,,,,,,,,645043,579054,658211,661250
2007,7,Rents from government properties,030,,,,,,,,980150,958177,1030698,1012215
2007,7,Investment income and interest,040,,,,,,,,3856944,6408722,10666991,10041270
2007,7,Returns on equity investments in statutory agencies/corporations,060,,,,,,,,1931717,1841116,2077174,2224160
2007,7,Recovery from Housing Authority under current financial arrangement,080,,,,,,,,29301,77970,75891,136153
2007,7,Government rents charged at 3% of rateable values in accordance with the Government Rent (Assessment and Collection) Ordinance (Cap. 515),090,,,,,,,,4726586,4856000,5795000,5213000
2007,9,Repayments of loans and advances,010,,,,,,,,198326,119101,117293,2579
2007,9,Pension contributions,020,,,,,,,,18314,16411,16718,15077
2007,9,Recovery of salaries and staff on-costs,030,,,,,,,,2112710,2096897,2057131,2054834
2007,9,Light and fuel in government buildings,040,,,,,,,,18951,24422,25013,25222
2007,9,Recovery of overpayments and losses,050,,,,,,,,542005,394682,445632,378936
2007,9,Transfers from Funds,080,,,,,,,,,6900000,2100000,31800000
2007,9,Other receipts,090,,,,,,,,2756079,3643317,3824659,1997365
2007,9,Payments in lieu of profits tax,110,001,Payments made by Trading Funds,,,,,,95875,64490,110157,77034
2007,9,Payments for “insurance” premium,110,002,Payments made by Trading Funds,,,,,,2801,2856,2856,2927
2007,9,Reimbursements by trading funds arising from policy on “insurance”,110,003,Payments made by Trading Funds,,,,,,112,163,90,90
2007,10,Embarkation fee,040,020,Marine ferry terminals,,,,,,182895,162405,169025,150811
2007,10,Berthing fee,040,010,Marine ferry terminals,,,,,,40712,45921,39673,44368
2007,10,Others,040,030,Marine ferry terminals,,,,,,5616,5596,5623,5825
2007,10,Chargeable water,070,010,Waterworks,,,,,,2446433,2520000,2460000,2521000
2007,10,Others,070,040,Waterworks,,,,,,12060,24200,24200,15500
2007,10,Fees and licences,070,020,Waterworks,,,,,,10992,11000,11000,11000
2007,10,Others,080,030,Sewage services,,,,,,2303,2292,2180,2180
2007,10,Sewage charge,080,010,Sewage services,,,,,,468365,484600,466000,510375
2007,10,Trade effluent surcharge,080,020,Sewage services,,,,,,204524,208400,200900,190075
2007,11,Markets,022,010,"Agriculture, Fisheries and Conservation Department",,,,,,61784,65001,64603,61849
2007,11,Agricultural services and products,022,020,"Agriculture, Fisheries and Conservation Department",,,,,,223,167,235,180
2007,11,Others,022,030,"Agriculture, Fisheries and Conservation Department",,,,,,19928,29015,44587,41629
2007,11,Audit Commission,024,,"Agriculture, Fisheries and Conservation Department",,,,,,3078,2909,2945,3063
2007,11,Services to trading funds and subvented projects,025,025,Architectural Services Department,,,,,,7218,4776,4781,3390
2007,11,Others,025,030,Architectural Services Department,,,,,,2243,737,665,686
2007,11,Census and Statistics Department,026,,Architectural Services Department,,,,,,11033,11924,13088,11581
2007,11,Civil Aid Service,027,,Architectural Services Department,,,,,,54,112,102,102
2007,11,Services to the Airport Authority,028,010,Civil Aviation Department,,,,,,641059,643069,637758,664242
2007,11,Aircraft en route navigation charges,028,020,Civil Aviation Department,,,,,,171309,179473,181601,199781
2007,11,Licences,028,030,Civil Aviation Department,,,,,,62304,60865,60673,64824
2007,11,Others,028,040,Civil Aviation Department,,,,,,1002,1243,1137,1195
2007,11,Recovery other than cost of raw materials for correctional services industries,030,010,Correctional Services Department,,,,,,513,300,135,135
2007,11,Laundry charges,030,015,Correctional Services Department,,,,,,2913,2955,2925,2925
2007,11,Others,030,020,Correctional Services Department,,,,,,273,264,327,327
2007,11,Denaturing fees,031,040,Customs and Excise Department,,,,,,188,163,197,197
2007,11,Import and export declarations,031,010,Customs and Excise Department,,,,,,1041597,1024434,1165122,1191705
2007,11,Bonded warehouse supervision charges,031,020,Customs and Excise Department,,,,,,413,379,265,265
2007,11,Clothing industry training levy service charges,031,030,Customs and Excise Department,,,,,,738,738,735,735
2007,11,Import and export licences,031,071,Customs and Excise Department,,,,,,2702,2538,2807,2807
2007,11,Warehouse licences,031,072,Customs and Excise Department,,,,,,518,490,595,597
2007,11,Miscellaneous licences,031,080,Customs and Excise Department,,,,,,1499,1491,1460,1527
2007,11,Storage fees,031,090,Customs and Excise Department,,,,,,42,17,20,20
2007,11,Others,031,100,Customs and Excise Department,,,,,,17625,20707,16114,16121
2007,11,Hong Kong companies registration fees,032,010,Companies Registry,,,,,,58914,59166,67874,68281
2007,11,Works executed on private account,033,010,Civil Engineering and Development Department,,,,,,972,280698,331823,63000
2007,11,"Dangerous goods, mining and prospecting licences",033,011,Civil Engineering and Development Department,,,,,,1472,1333,1333,1300
2007,11,Others,033,030,Civil Engineering and Development Department,,,,,,222,160,157,205
2007,11,Mud disposal,033,013,Civil Engineering and Development Department,,,,,,7704,3150,17020,9007
2007,11,Disposal of construction waste at public fill reception facilities,033,014,Civil Engineering and Development Department,,,,,,514,32000,31000,89000
2007,11,Explosives permit and storage fees,033,012,Civil Engineering and Development Department,,,,,,14484,8684,6607,7890
2007,11,Out-patient charges,037,030,Department of Health,,,,,,32538,34784,34252,34407
2007,11,"Dangerous drugs, pharmacy, poisons and other licences",037,010,Department of Health,,,,,,16753,18624,19067,18907
2007,11,Dental charges,037,040,Department of Health,,,,,,11066,9450,9550,9250
2007,11,"Medical and health charges other than hospital, out-patient and dental charges",037,050,Department of Health,,,,,,24621,25943,26712,27531
2007,11,Registrations and certificates of medical and supplementary medical professionals,037,060,Department of Health,,,,,,20807,21920,22040,20579
2007,11,Others,037,070,Department of Health,,,,,,775,547,547,547
2007,11,Works executed on private account,039,010,Drainage Services Department,,,,,,66,100,85,85
2007,11,Others,039,030,Drainage Services Department,,,,,,1024,943,876,870
2007,11,"Registration, certification and permit fees",042,027,Electrical and Mechanical Services Department,,,,,,35032,31628,36101,42638
2007,11,Others,042,030,Electrical and Mechanical Services Department,,,,,,11,11,11,11
