head_no,programme_no,year_start,year_end,programme_aim
28,5,2012,2013,The aim is to implement air services arrangements and aviation policy to enable air services to be operated to meet demand and to promote Hong Kong as an international and regional aviation centre.
28,5,2014,2014,"The aim is to implement air services arrangements and aviation policy to enable air services to be operated to meet demand, to develop and implement safety policy to promote and enhance safety in the aviation system, to set and enforce air navigation services standards in compliance with international civil aviation safety requirements, and to regulate the air navigation services and operations."
28,6,2006,2009,The aim is to ensure effective administration of the Air Passenger Departure Tax (APDT) collection pursuant to the Air Passenger Departure Tax Ordinance.
28,6,2010,2014,The aim is to ensure effective administration of the Air Passenger Departure Tax (APDT) collection pursuant to the Air Passenger Departure Tax Ordinance (Cap. 140).
30,1,2006,2010,The aim is to provide safe and humane custody of all persons committed or sentenced by the courts and persons detained under the Immigration Ordinance.
30,1,2011,2014,The aim is to provide safe and humane custody of all persons committed or sentenced by the courts and persons detained under the Immigration Ordinance (Cap. 115).
30,2,2006,2012,The aim is to facilitate the re-integration of prisoners and inmates into the community as law-abiding citizens.
30,2,2013,2014,The aim is to facilitate the re-integration of persons in custody into the community as law-abiding citizens.
31,1,2006,2006,"The aims are to prevent and detect the smuggling of contraband, including narcotics, firearms, strategic goods, dutiable commodities, articles which infringe copyright or trade descriptions, and any other articles the importation or exportation of which is prohibited by law, through action at control points and through regular land and maritime patrols within the territory of Hong Kong."
31,1,2007,2011,"The aims are to prevent and detect the smuggling of contraband, including narcotics, firearms, strategic goods, dutiable commodities, articles which infringe copyright or trade descriptions, and any other articles the importation or exportation of which is prohibited by law, through actions at control points and through regular land and maritime patrols within the territory of Hong Kong."
31,1,2012,2013,"The aims are to prevent and detect the smuggling of contraband, including narcotics, firearms, strategic goods, dutiable commodities, articles which infringe copyright or trade descriptions, and any other articles the importation or exportation of which is prohibited by law, through actions at control points and regular land and maritime patrols within the territory of Hong Kong."
31,1,2014,2014,"The aims are to prevent and detect the smuggling of contraband, including narcotics, firearms, strategic goods, dutiable commodities, articles which infringe copyright or trade descriptions, and any other articles the importation or exportation of which is prohibited by law, through actions at control points and regular land and maritime patrols within the territory of Hong Kong; as well as to run a regulatory regime for the Money Service Operators (MSOs) under the Anti-Money Laundering and Counter-Terrorist Financing (Financial Institutions) Ordinance (Cap. 615) (AMLO)."
31,2,2006,2014,"The aims are to suppress illicit trafficking in and abuse of dangerous drugs, to combat money laundering and to prevent diversion of controlled chemicals for the illicit manufacture of dangerous drugs."
31,3,2006,2006,"The aims are to prevent and detect copyright and trade mark infringement and dealings in goods bearing false trade descriptions; to collaborate with trade mark and copyright owners, relevant organisations and law enforcement agencies in or outside Hong Kong, in order to combat trade mark counterfeiting and copyright piracy; and to enforce consumer protection legislation relating to weights and measures, toys and children’s products safety, consumer goods safety and Precious Metals Marking Orders."
31,3,2007,2008,"The aims are to prevent and detect copyright and trade mark infringement and dealings in goods bearing false trade descriptions; to collaborate with trade mark and copyright owners, relevant organisations and law enforcement agencies in or outside Hong Kong, in order to combat trade mark counterfeiting and copyright piracy; and to enforce consumer protection legislation relating to weights and measures, toys and children’s products safety, consumer goods safety and fair trading in precious metals."
31,3,2009,2009,"The aims are to prevent and detect copyright and trade mark infringement; to collaborate with trade mark and copyright owners, relevant organisations and law enforcement agencies in or outside Hong Kong, in order to combat trade mark counterfeiting and copyright piracy; and to enforce consumer protection legislation relating to weights and measures, toys and children’s products safety, consumer goods safety and trade descriptions."
31,3,2010,2012,"The aims are to prevent and detect copyright and trade mark infringement; to collaborate with trade mark and copyright owners, relevant organisations and law enforcement agencies in or outside Hong Kong in order to combat trade mark counterfeiting and copyright piracy; and to enforce consumer protection legislation relating to weights and measures, toys and children’s products safety, consumer goods safety and trade descriptions."
31,3,2013,2014,"The aims are to prevent and detect copyright and trade mark infringement; to collaborate with trade mark and copyright owners, relevant organisations and law enforcement agencies in or outside Hong Kong in order to combat trade mark counterfeiting and copyright piracy; and to enforce consumer protection legislation relating to weights and measures, toys and children’s products safety, consumer goods safety, trade descriptions and trade practices."
31,4,2006,2010,The aims are to collect and protect revenue from dutiable commodities stipulated in the Dutiable Commodities Ordinance and to assess the provisional taxable values of motor vehicles under the Motor Vehicles (First Registration Tax) Ordinance.
31,4,2011,2014,The aims are to collect and protect revenue from dutiable commodities stipulated in the Dutiable Commodities Ordinance (Cap. 109) and to assess the provisional taxable values of motor vehicles under the Motor Vehicles (First Registration Tax) Ordinance (Cap. 330).
31,5,2006,2010,The aims are to secure and maintain the integrity and credibility of the various trade controls and import and export control systems operated in Hong Kong in fulfilment of international obligations and for public health and safety reasons; as well as to collect import and export declarations and declaration charges under the Import and Export (Registration) Regulations and clothing levies under the Industrial Training (Clothing Industry) Ordinance.
31,5,2011,2014,The aims are to secure and maintain the integrity and credibility of the various trade controls and import and export control systems operated in Hong Kong in fulfilment of international obligations and for public health and safety reasons; as well as to collect import and export declarations and declaration charges under the Import and Export (Registration) Regulations (Cap. 60E) and clothing levies under the Industrial Training (Clothing Industry) Ordinance (Cap. 318).
33,1,2006,2006,"The aim is to plan, design and implement tourism and recreational developments in Northeast Lantau, and to provide engineering input to the Ocean Park Redevelopment Plans."
33,1,2007,2007,"The aim is to plan, design and implement tourism and recreational developments in Northeast Lantau, and to provide engineering input to the Ocean Park redevelopment project in the Southern District as well as the cruise terminal development project at Kai Tak."
33,1,2008,2008,"The aim is to plan, design and implement tourism and recreational developments in Northeast Lantau, and provide engineering input to the Ocean Park redevelopment project in the Southern District as well as the cruise terminal development project at Kai Tak."
33,1,2009,2009,"The aim is to plan, design and implement the tourism and recreational developments in Northeast Lantau and Ngong Ping, and the site formation works of the cruise terminal development at Kai Tak, as well as to provide engineering input to the Ocean Park redevelopment project in the Southern District."
33,1,2010,2010,"The aim is to plan, design and implement the tourism and recreational developments in Northeast Lantau, Ngong Ping and Aberdeen, and the site formation for Kai Tak cruise terminal development, as well as to provide engineering input to the Ocean Park redevelopment project in the Southern District."
33,1,2011,2011,"The aim is to plan, design and implement the tourism and recreational developments in Ngong Ping and Aberdeen, and the site formation for Kai Tak cruise terminal development, as well as to provide engineering input to the Ocean Park redevelopment project in the Southern District."
33,1,2012,2012,"The aim is to plan, design and implement the tourism and recreational developments in Aberdeen and Lei Yue Mun, and carry out the site formation for Kai Tak cruise terminal development, as well as to provide engineering input to the Ocean Park redevelopment project in the Southern District."
33,1,2013,2013,"The aim is to plan, design and implement the tourism and recreational developments in Aberdeen and Lei Yue Mun, and carry out the site formation for Kai Tak Cruise Terminal development, as well as to provide engineering input to the Ocean Park redevelopment project in the Southern District."
33,1,2014,2014,"The aim is to plan, design and implement the tourism and recreational developments in Aberdeen and Lei Yue Mun, and complete the site formation for Kai Tak Cruise Terminal development in stages, as well as to provide engineering input to the Ocean Park’s redevelopment projects."
33,2,2006,2007,"The aim is to implement the port development programme; design, construct and maintain public marine facilities, including seawalls, mooring areas and piers; maintain adequate water depth in navigation channels in the harbour; and provide advice and service to other departments on matters relating to marine works."
33,2,2008,2014,"The aim is to implement the port development programme; design, construct and maintain public marine facilities, including seawalls, mooring areas and piers; maintain adequate water depth in navigation channels in the harbour; and provide advice and services to other departments on matters relating to marine works."
33,3,2006,2014,The aim is to provide land and supporting infrastructure for development.
33,4,2006,2006,"The aim is to check the geotechnical aspects of designs for building and civil engineering works; identify and register man-made slopes, retaining structures and natural terrain landslide hazard mitigation measures; implement the ten-year (2000–2010) Extended Landslip Preventive Measures (LPM) Programme; provide landslide emergency service; investigate serious landslides; identify squatter dwellings which are especially vulnerable to landslides during heavy rainfall; undertake public education related to slope safety; set standards for geotechnical work; provide advisory services to private slope owners on slope maintenance and improvement; and audit slope maintenance by government departments."
33,4,2007,2008,The aim is to exercise geotechnical control on private and public developments; register slopes; implement the ten-year (2000 to 2010) Extended Landslip Preventive Measures (LPM) Programme; provide landslide emergency service and investigate serious landslides; set geotechnical standards; undertake public education and advise private slope owners on slope safety.
33,4,2009,2009,The aim is to exercise geotechnical control on private and public developments; register slopes; implement the ten-year (2000–2010) Extended Landslip Preventive Measures (LPM) Programme; provide landslide emergency service and investigate serious landslides; set geotechnical standards; undertake public education and advise private slope owners on slope safety.
33,4,2010,2010,"The aim is to exercise geotechnical control on private and public developments, register slopes, implement the post-2010 Landslip Prevention and Mitigation (LPMit) Programme to dovetail with the completion of the ten-year (2000–2010) Extended Landslip Preventive Measures (LPM) Programme, provide landslide emergency service and investigate serious landslides, set geotechnical standards, undertake public education and advise private slope owners on slope safety."
33,4,2011,2014,"The aim is to exercise geotechnical control on private and public developments, register slopes, implement the Landslip Prevention and Mitigation Programme (LPMitP), provide landslide emergency service, investigate serious landslides, set geotechnical standards, undertake public education and advise private slope owners on slope safety."
33,5,2006,2006,"The aim is to develop greening master plans and implement greening measures; provide ground investigation, construction materials testing, geological survey and other geotechnical services; and manage Hong Kong’s marine fill resources and mud disposal capacity."
33,5,2007,2010,"The aim is to develop greening master plans and implement other greening measures to improve the environment of Hong Kong; provide ground investigation, construction materials testing, geological surveys and other geotechnical services; and manage Hong Kong’s marine fill resources and mud disposal capacity."
33,5,2011,2014,"The aim is to develop greening master plans and implement other greening measures to improve the environment of Hong Kong, provide ground investigation, construction materials testing, geological surveys and other geotechnical services, and manage Hong Kong’s marine fill resources and mud disposal capacity."
33,6,2006,2009,The aim is to supervise contracts for quarrying in Hong Kong; enforce the Mining Ordinance; enforce the Dangerous Goods Ordinance in connection with the use of explosives; and safeguard the public from the misuse of explosives.
33,6,2010,2010,"The aim is to supervise contracts for quarrying in Hong Kong, enforce the Mining Ordinance, enforce the Dangerous Goods Ordinance in connection with the use of explosives, and safeguard the public from the misuse of explosives."
33,6,2011,2014,"The aim is to supervise contracts for quarrying in Hong Kong, enforce the Mining Ordinance (Cap. 285), enforce the Dangerous Goods Ordinance (Cap. 295) in connection with the use of explosives, and safeguard the public from the misuse of explosives."
33,7,2006,2014,The aim is to ensure good management and utilisation of inert construction and demolition materials.
33,8,2006,2014,The aim is to advise on development proposals.
35,1,2006,2006,The aim is to enhance liaison and communication with the Central People’s Government (CPG) and other Mainland authorities; to strengthen economic and trade liaison with the 15 provinces/regions/municipalities within the geographical coverage of the Beijing Office; and to promote inward investment to Hong Kong from those areas.
35,1,2007,2007,The aim is to enhance liaison and communication between the Government of the Hong Kong Special Administrative Region (HKSAR) and the Central People’s Government (CPG) and other Mainland authorities; to strengthen economic and trade liaison with the 15 provinces/regions/municipalities within the geographical coverage of the Beijing Office (BJO) and promote Hong Kong in those areas; and to encourage inward investment to Hong Kong from enterprises and corporations there.
35,2,2006,2007,The aim is to facilitate the application of foreign nationals in the Mainland for entry visas to the HKSAR and to maintain close liaison with relevant CPG departments as well as foreign diplomatic corps in Beijing on immigration matters.
37,1,2006,2014,The aim is to enforce legislation to ensure a high standard of public health protection.
37,2,2006,2010,The aim is to prevent and control diseases and reduce preventable diseases and premature deaths.
37,2,2011,2014,"The aim is to prevent and control diseases, and reduce preventable diseases and premature deaths."
37,3,2006,2014,The aim is to promote health and increase health awareness in the community and among specific target groups.
37,4,2006,2014,The aim is to provide specialised outpatient treatment for various illnesses.
37,5,2006,2007,The aim is to provide comprehensive assessment for children with developmental disabilities.
37,5,2008,2014,The aim is to provide comprehensive assessment for children with developmental problems and disabilities.
37,6,2006,2014,The aim is to contribute to Government’s overall strategy for the control of drug abuse.
37,7,2006,2014,The aim is to provide medical and dental services for serving and retired civil servants and other eligible persons.
37,8,2006,2006,"The aim is to discharge the personnel management responsibility for the civil servants working in the Hospital Authority (HA), to maintain their morale and efficiency to facilitate the smooth operation of all public hospitals in a mixed staff situation, and to look after the interests of these civil servants."
37,8,2007,2007,"The aim is to discharge the personnel management responsibility for the civil servants working in the HA, to maintain their morale and efficiency to facilitate the smooth operation of all public hospitals in a mixed staff situation, and to look after the interests of these civil servants."
37,8,2008,2009,"The aim is to discharge the personnel management responsibility for the civil servants working in the HA to maintain their morale and efficiency to facilitate the smooth operation of all public hospitals in a mixed staff situation, and to look after the interests of these civil servants."
37,8,2010,2014,"The aim is to discharge the personnel management responsibility for the civil servants working in the Hospital Authority (HA) to maintain their morale and efficiency to facilitate the smooth operation of all public hospitals in a mixed staff situation, and to look after the interests of these civil servants."
39,1,2006,2009,"The aim is to investigate, plan, design, construct, operate and maintain stormwater drainage, flood relief channels and other flood control installations; to set and ensure compliance with stormwater drainage standards; and to relieve flooding."
39,1,2010,2014,"The aim is to investigate, plan, design, construct, operate and maintain stormwater drainage, flood relief channels and other flood control installations; to set and ensure compliance with stormwater drainage standards; and to minimise flooding risks."
39,2,2006,2010,"The aim is to investigate, plan, design and construct sewerage systems and sewage treatment and disposal facilities; to set and ensure compliance with sewerage standards; to undertake effective operation and maintenance of sewerage systems and sewage treatment plants; and to operate effectively the sewage charging scheme in accordance with the Sewage Services Ordinance."
39,2,2011,2011,"The aim is to investigate, plan, design and construct sewer systems and sewage treatment and disposal facilities; to set and ensure compliance with sewerage standards; to undertake effective operation and maintenance of sewer systems and sewage treatment plants; and to operate effectively the sewage charging scheme in accordance with the Sewage Services Ordinance (Cap. 463)."
39,2,2012,2014,"The aim is to investigate, plan, design and construct sewer systems and sewage treatment and disposal facilities; to set and ensure compliance with sewerage standards; to undertake effective operation and maintenance of sewer systems and sewage treatment works; and to implement effectively the sewage services charging scheme in accordance with the Sewage Services Ordinance (Cap. 463)."
42,1,2006,2008,"The aim is to safeguard public safety through implementation of a set of comprehensive regulatory frameworks and systems on electrical and gas applications and working closely with the community on public education, to monitor the operation and development of the electricity utilities and supply, and to provide professional support and advice on nuclear related matters."
42,1,2009,2014,"The aim is to safeguard the public through implementation of a set of comprehensive regulatory frameworks and systems on the safety of electrical and gas applications and working closely with the community on education, to monitor the operation of utility companies and development of electricity supply, and to provide professional support and advice on nuclear related matters."
42,2,2006,2007,"The aim is to safeguard public safety through implementation of a set of comprehensive regulatory frameworks and systems on lifts, escalators, builders’ lifts, tower working platforms, amusement rides, trams and other mechanical installations, and working closely with the community on public education."
42,2,2008,2008,"The aim is to safeguard public safety through implementation of a set of comprehensive regulatory frameworks and systems on lifts, escalators, builders’ lifts, tower working platforms, amusement rides, railways, trams and other mechanical installations, and working closely with the community on public education."
42,2,2009,2013,"The aim is to safeguard public through implementation of a set of comprehensive regulatory frameworks and systems on the safety of lifts, escalators, builders’ lifts, tower working platforms, aerial ropeways, amusement rides, railways, trams and other mechanical installations, and working closely with the community on public education."
42,2,2014,2014,"The aim is to safeguard the public through implementation of a set of comprehensive regulatory frameworks and systems on the safety of lifts, escalators, builders’ lifts, tower working platforms, aerial ropeways, amusement rides, railways, tramway, peak tramway and other mechanical installations, and working closely with the community on public education."
42,3,2006,2008,"The aim is to promote energy efficiency and conservation, and application of alternative energy."
42,3,2009,2014,The aim is to promote energy efficiency and conservation and application of alternative energy.
42,4,2006,2014,The aim is to provide efficient and cost-effective centralised services and specialist support to other departments.
44,1,2006,2011,The aim is to develop and implement a sustainable waste management strategy for Hong Kong to reduce waste and to safeguard the health and welfare of the community from any adverse environmental effects associated with the improper handling and disposal of waste. This is done through a framework of programmes for the provision of facilities as well as legislative and institutional measures.
44,1,2012,2014,The aim is to develop and implement a sustainable waste management strategy for Hong Kong to reduce waste and to safeguard the health and welfare of the community from any adverse environmental effects associated with the improper handling and disposal of waste.
44,2,2006,2010,"The aim is to achieve and maintain satisfactory air quality through intervention in the planning process and enforcement of the Air Pollution Control Ordinance (APCO), Ozone Layer Protection Ordinance (OLPO) and other statutory requirements."
44,2,2011,2012,"The aim is to achieve and maintain satisfactory air quality through intervention in the planning process and enforcement of the Air Pollution Control Ordinance (Cap. 311) (APCO), Ozone Layer Protection Ordinance (Cap. 403) (OLPO) and other statutory requirements."
44,2,2013,2013,"The aim is to achieve and maintain satisfactory air quality through enforcement of the Air Pollution Control Ordinance (Cap. 311) (APCO), Ozone Layer Protection Ordinance (Cap. 403) (OLPO) and other statutory requirements, and to formulate and oversee emission reduction measures."
44,2,2014,2014,"The aim is to achieve and maintain satisfactory air quality through enforcement of the Air Pollution Control Ordinance (Cap. 311) (APCO), Ozone Layer Protection Ordinance (Cap. 403) (OLPO) and other statutory requirements, to formulate and oversee emission reduction measures, and to promote the use of electric vehicles in Hong Kong."
44,3,2006,2010,"The aim is to prevent, minimise and resolve environmental noise problems through formulation of noise policy, intervention in the planning process, implementation of noise abatement measures and enforcement of the Noise Control Ordinance (NCO)."
44,3,2011,2012,"The aim is to prevent, minimise and resolve environmental noise problems through formulation of noise policy, intervention in the planning process, implementation of noise abatement measures and enforcement of the Noise Control Ordinance (Cap. 400) (NCO)."
44,3,2013,2014,"The aim is to prevent, minimise and resolve environmental noise problems through intervention in the planning process, implementation of noise abatement measures and enforcement of the Noise Control Ordinance (Cap. 400) (NCO)."
44,4,2006,2006,"The aim is to ensure that the quality of Hong Kong’s marine and fresh water meets the various conservation goals, and that plans are formulated and implemented to ensure that Hong Kong’s sewerage systems can operate safely and effectively both now and with further urban development in future."
44,4,2007,2013,"The aim is to ensure that the quality of Hong Kong’s marine and fresh water meets the various conservation goals, and that plans are formulated and implemented to ensure that Hong Kong’s sewerage systems can operate safely and effectively both now and with further urban developments in future."
44,4,2014,2014,"The aim is to ensure that the quality of Hong Kong’s marine and fresh waters promotes the conservation and best use of those waters in the public interest, and that plans are formulated and implemented to ensure that Hong Kong’s sewerage systems can operate safely and effectively both now and with further urban developments in future."
44,5,2006,2014,"The aim is to pre-empt environmental problems associated with projects, plans, policies and strategies by assessing their environmental implications and ensuring that effective preventive and mitigatory measures are implemented where potential problems are identified."
44,6,2006,2014,"The aim is to regulate, protect and manage natural resources that are important for the conservation of biological diversity of Hong Kong in a sustainable manner, taking into account social and economic considerations, for the benefit and enjoyment of the present and future generations of the community."
45,1,2006,2014,"The aim is to extinguish fires, to protect life and property in case of fire or other calamity and to carry out fire hazard abatement action."
45,2,2006,2012,The aim is to reduce fire hazards in the community and to ensure that appropriate fire protection measures are provided in buildings/premises according to their intended use(s).
45,2,2013,2014,The aim is to reduce fire hazards in the community and to ensure that appropriate fire protection measures are provided in buildings and premises according to their intended use(s).
45,3,2006,2014,The aim is to provide an efficient and effective paramedic emergency ambulance service to meet public demand.
46,1,2006,2014,The aim is to pay for expenditure on terms and conditions of service and other personnel related expenses.
47,1,2006,2007,"The aim is to promote and facilitate more extensive use of IT by the Government with a view to providing customer-centric services that support an accessible, accountable and efficient government and contribute to maintaining Hong Kong’s position as a leading digital city."
47,1,2008,2008,"The aim is to promote and facilitate more extensive use of IT by the Government with a view to providing customer-centric services that support an accessible, accountable and efficient government and contribute to maintaining Hong Kong’s position as a world digital city."
47,1,2009,2009,"The Government’s Digital 21 Strategy contains five action areas to sustain Hong Kong’s position as Asia’s leading digital city. Each action area has a statement of desired outcome. The aim of this Programme is to deliver the desired outcome under the action area “Enabling the next generation of public services”. The desired outcome is that Government should use ICT to provide the public with the services they need, in an efficient and convenient manner, which is as pleasurable and straightforward as dealing with the most customer-friendly organisations in the commercial and voluntary sectors. Government policy initiatives, internal efficiency, transparency and public engagement should also be enabled by appropriate and world-leading use of ICT."
47,1,2010,2010,"The Government’s Digital 21 Strategy contains five action areas to sustain Hong Kong’s position as Asia’s leading digital city. Each action area has a statement of desired outcome. The aim of this Programme is to deliver the desired outcome under the action area “Enabling the next generation of public services”. The desired outcome is that the Government should use information and communications technology (ICT) to provide the public with the services they need, in an efficient and convenient manner, which is as pleasurable and straightforward as dealing with the most customer-friendly organisations in the commercial and voluntary sectors. Government policy initiatives, internal efficiency, transparency and public engagement should also be enabled by appropriate and world-leading use of ICT."
47,1,2011,2012,"The Government’s Digital 21 Strategy sets out five action areas to sustain Hong Kong’s position as Asia’s leading digital city. Each action area has a statement of desired outcome. The aim of this Programme is to deliver the desired outcome under the action area “Enabling the next generation of public services”. The desired outcome is that the Government should use information and communications technology (ICT) to provide the public with the services they need in an efficient, convenient and environmentally friendly manner, which is as pleasurable and straightforward as dealing with the most customer-friendly organisations in the commercial and voluntary sectors. Government policy initiatives, internal efficiency, transparency and public engagement should also be enabled by appropriate and world-leading use of ICT."
